<09:53:35> Starting production...
/BPMDetector main.cpp<09:53:35> Starting consumption...
/BPMDetector main.cpp<09:53:36> Starting production...
/BPMDetector main.cpp<09:53:36> Starting consumption...
/BPMDetector main.cpp<09:53:38> Starting production...
/BPMDetector main.cpp<09:53:38> Starting consumption...
/BPMDetector main.cpp<09:53:40> Starting production...
/BPMDetector main.cpp<09:53:40> Starting consumption...
/BPMDetector main.cpp<09:53:42> Starting production...
/BPMDetector main.cpp<09:53:42> Starting consumption...
/BPMDetector main.cpp<09:53:44> Starting production...
/BPMDetector main.cpp<09:53:44> Starting consumption...
/BPMDetector main.cpp<09:53:46> Starting production...
/BPMDetector main.cpp<09:53:46> Starting consumption...
/BPMDetector main.cpp<09:53:48> Starting production...
/BPMDetector main.cpp<09:53:48> Starting consumption...
/BPMDetector main.cpp<09:53:50> Starting production...
/BPMDetector main.cpp<09:53:50> Starting consumption...
/BPMDetector main.cpp<09:56:59> Starting production...
/BPMDetector/build main.cpp<09:56:59> Starting consumption...
/BPMDetector/build main.cpp<09:57:00> Starting production...
/BPMDetector/build main.cpp<09:57:00> Starting consumption...
/BPMDetector/build main.cpp<09:57:02> Starting production...
/BPMDetector/build main.cpp<09:57:02> Starting consumption...
/BPMDetector/build main.cpp<09:57:19> Starting production...
/BPMDetector/build main.cpp<09:57:19> Starting consumption...
/BPMDetector/build main.cpp<09:57:20> Starting production...
/BPMDetector/build main.cpp<09:57:20> Starting consumption...
/BPMDetector/build main.cpp<09:57:22> Starting production...
/BPMDetector/build main.cpp<09:57:22> Starting consumption...
/BPMDetector/build main.cpp<09:57:24> Starting production...
/BPMDetector/build main.cpp<09:57:24> Starting consumption...
/BPMDetector/build main.cpp<11:18:44> Starting production...
/BPMDetector/build /BPMDetector/build<11:18:44> Starting consumption...
/BPMDetector/build /BPMDetector/build<11:18:45> Starting production...
/BPMDetector/build /BPMDetector/build<11:18:45> Starting consumption...
/BPMDetector/build /BPMDetector/build<11:18:47> Starting production...
/BPMDetector/build /BPMDetector/build<11:18:47> Starting consumption...
/BPMDetector/build /BPMDetector/build<11:18:49> Starting production...
/BPMDetector/build /BPMDetector/build<11:18:49> Starting consumption...
/BPMDetector/build /BPMDetector/build<11:23:17> Starting production...
/home/pi/git_repos/BPMDetector/build/BPMDetector/build /home/pi/git_repos/BPMDetector/build/BPMDetector/build<11:23:17> Starting consumption...
/home/pi/git_repos/BPMDetector/build/BPMDetector/build /home/pi/git_repos/BPMDetector/build/BPMDetector/build<11:23:18> Starting production...
/home/pi/git_repos/BPMDetector/build/BPMDetector/build /home/pi/git_repos/BPMDetector/build/BPMDetector/build<11:23:18> Starting consumption...
/home/pi/git_repos/BPMDetector/build/BPMDetector/build /home/pi/git_repos/BPMDetector/build/BPMDetector/build<11:23:20> Starting production...
/home/pi/git_repos/BPMDetector/build/BPMDetector/build /home/pi/git_repos/BPMDetector/build/BPMDetector/build<11:23:20> Starting consumption...
/home/pi/git_repos/BPMDetector/build/BPMDetector/build /home/pi/git_repos/BPMDetector/build/BPMDetector/build<11:23:22> Starting production...
/home/pi/git_repos/BPMDetector/build/BPMDetector/build /home/pi/git_repos/BPMDetector/build/BPMDetector/build<11:23:22> Starting consumption...
/home/pi/git_repos/BPMDetector/build/BPMDetector/build /home/pi/git_repos/BPMDetector/build/BPMDetector/build<11:23:24> Starting production...
/home/pi/git_repos/BPMDetector/build/BPMDetector/build /home/pi/git_repos/BPMDetector/build/BPMDetector/build<11:23:24> Starting consumption...
/home/pi/git_repos/BPMDetector/build/BPMDetector/build /home/pi/git_repos/BPMDetector/build/BPMDetector/build<11:23:26> Starting production...
/home/pi/git_repos/BPMDetector/build/BPMDetector/build /home/pi/git_repos/BPMDetector/build/BPMDetector/build<11:23:26> Starting consumption...
/home/pi/git_repos/BPMDetector/build/BPMDetector/build /home/pi/git_repos/BPMDetector/build/BPMDetector/build<11:23:28> Starting production...
/home/pi/git_repos/BPMDetector/build/BPMDetector/build /home/pi/git_repos/BPMDetector/build/BPMDetector/build<11:23:28> Starting consumption...
/home/pi/git_repos/BPMDetector/build/BPMDetector/build /home/pi/git_repos/BPMDetector/build/BPMDetector/build<11:23:30> Starting production...
/home/pi/git_repos/BPMDetector/build/BPMDetector/build /home/pi/git_repos/BPMDetector/build/BPMDetector/build<11:23:30> Starting consumption...
/home/pi/git_repos/BPMDetector/build/BPMDetector/build /home/pi/git_repos/BPMDetector/build/BPMDetector/build<11:23:32> Starting production...
/home/pi/git_repos/BPMDetector/build/BPMDetector/build /home/pi/git_repos/BPMDetector/build/BPMDetector/build<11:23:32> Starting consumption...
/home/pi/git_repos/BPMDetector/build/BPMDetector/build /home/pi/git_repos/BPMDetector/build/BPMDetector/build<11:23:34> Starting production...
/home/pi/git_repos/BPMDetector/build/BPMDetector/build /home/pi/git_repos/BPMDetector/build/BPMDetector/build<11:23:34> Starting consumption...
/home/pi/git_repos/BPMDetector/build/BPMDetector/build /home/pi/git_repos/BPMDetector/build/BPMDetector/build<11:24:45> Starting production...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<11:24:45> Starting consumption...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<11:24:46> Starting production...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<11:24:46> Starting consumption...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<11:24:48> Starting production...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<11:24:48> Starting consumption...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<11:24:50> Starting production...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<11:24:50> Starting consumption...
